_id,Sl No,State,2020 Accidents,2021 Accidents,2022 Accidents,2023 Accidents,2024 Accidents,Change from 2023 to 2024,% change from 2023 to 2024,2020 Ranking,2021 Ranking,2022 Ranking,2023 Ranking,2024 Ranking
1,1,Andhra Pradesh,"19,509","21,556","21,249","19,949","19,557",-392,-2,7,7,9,9,9
2,2,Arunachal Pradesh,134,283,227,287,277,-10,-3.5,32,28,31,29,27
3,3,Assam,"6,595","7,411","7,023","7,421","7,848",427,5.8,16,16,16,16,16
4,4,Bihar,"8,639","9,553","10,801","11,014","11,610",596,5.4,15,15,14,14,14
5,5,Chhattisgarh,"11,656","12,375","13,279","13,468","14,857","1,389",10.3,11,11,12,12,11
6,6,Goa,"2,375","2,849","3,011","2,846","2,682",-164,-5.8,21,21,21,21,21
7,7,Gujarat,"13,398","15,186","15,751","16,349","15,588",-761,-4.7,10,10,10,10,10
8,8,Haryana,"9,431","9,933","10,429","10,463","9,806",-657,-6.3,14,14,15,15,15
9,9,Himachal Pradesh,"2,239","2,404","2,597","2,253","2,156",-97,-4.3,22,22,22,22,22
10,10,Jharkhand,"4,405","4,728","5,175","5,315","5,196",-119,-2.2,19,19,20,20,20
11,11,Karnataka,"34,178","34,647","39,762","43,440","43,062",-378,-0.9,4,4,5,5,5
12,12,Kerala,"27,877","33,296","43,910","48,091","48,834",743,1.5,5,5,3,3,
13,13,Madhya Pradesh,"45,266","48,877","54,432","55,327","56,669","1,342",2.4,2,2,2,2,2
14,14,Maharashtra,"24,971","29,477","33,383","35,243","36,118",875,2.5,6,6,6,6,6
15,15,Manipur,432,366,508,398,299,-99,-24.9,27,27,26,26,26
16,16,Meghalaya,214,245,246,223,269,46,20.6,28,29,29,30,28
17,17,Mizoram,53,69,133,106,118,12,11.3,34,35,35,35,35
18,18,Nagaland,500,746,489,303,129,-174,-57.4,25,25,27,27,34
19,19,Odisha,"9,817","10,983","11,663","11,992","12,375",383,3.2,13,13,13,13,13
20,20,Punjab,"5,203","5,871","6,138","6,269","6,063",-206,-3.3,17,17,17,18,17
21,21,Rajasthan,"19,114","20,951","23,614","24,694","24,838",144,0.6,9,9,7,7,8
22,22,Sikkim,138,155,211,182,149,-33,-18.1,31,32,32,31,32
23,23,Tamil Nadu,"49,844","55,682","64,105","67,213","67,526",313,0.5,1,1,1,1,
24,24,Telangana,"19,172","21,315","21,619","22,903","25,986","3,083",13.5,8,8,8,8,7
25,25,Tripura,466,479,575,577,578,1,0.2,26,26,25,25,25
26,26,Uttarakhand,"1,041","1,405","1,674","1,691","1,747",56,3.3,23,23,23,23,23
27,27,Uttar Pradesh,"34,243","37,729","41,746","44,534","46,052","1,518",3.4,3,3,4,4,4
28,28,West Bengal,"10,863","11,937","13,686","13,795","13,702",-93,-0.7,12,12,11,11,12
29,29,Andaman & Nicobar Islands,141,115,141,143,135,-8,-5.6,30,34,34,34,33
30,30,Chandigarh,159,208,237,182,169,-13,-7.1,29,31,30,31,30
31,31,Dadra & Nagar Haveli and Daman & Diu,100,140,196,182,152,-30,-16.5,33,33,33,31,31
32,32,Delhi,"4,178","4,720","5,652","5,834","5,657",-177,-3,20,20,19,19,19
33,33,J & K #,"4,860","5,452","6,092","6,298","5,808",-490,-7.8,18,18,18,17,18
34,34,Ladakh,NA,236,374,289,264,-25,-8.7,NA,NA,28,28,29
35,35,Lakshadweep,1,4,3,1,0,-1,-100,35,36,36,36,36
36,36,Puducherry,969,"1,049","1,181","1,308","1,431",123,9.4,24,24,24,24,24
37,Total,All India,"3,72,181","4,12,432","4,61,312","4,80,583","4,87,707","7,124",1.5,,,,,
38,# includes Ladakh for 2019 and 2020,,,,,,,,,,,,,
