Sl No,State,2020 Killed,2021 Killed,2022 Killed,2023 Killed,2024 Killed,% change from 2023 to 2024,2020 Ranking,2021 Ranking,2022 Ranking,2023 Ranking,2024 Ranking
1,Andhra Pradesh,"7,039","8,186","8,293","8,137","8,346",2.57,7,7,8,8,8
2,Arunachal Pradesh,73,157,148,145,168,15.86,28,26,27,27,27
3,Assam,"2,629","3,036","2,994","3,296","3,351",1.67,18,18,18,18,18
4,Bihar,"6,699","7,660","8,898","8,873","9,347",5.34,9,8,7,7,7
5,Chhattisgarh,"4,606","5,371","5,834","6,166","6,945",12.63,13,12,12,11,11
6,Goa,223,226,271,290,286,-1.28,23,23,23,23,23
7,Gujarat,"6,170","7,452","7,618","7,854","7,717",-1.74,10,10,9,9,10
8,Haryana,"4,507","4,706","4,915","4,968","4,689",-5.62,14,14,14,14,15
9,Himachal Pradesh,893,"1,052","1,032",889,869,-2.25,20,20,21,22,21
10,Jharkhand,"3,044","3,513","3,898","4,173","4,114",-1.41,16,16,17,16,16
11,Karnataka,"9,760","10,038","11,702","12,321","12,390",0.56,5,6,5,5,5
12,Kerala,"2,979","3,429","4,317","4,080","3,880",-4.9,17,17,16,17,17
13,Madhya Pradesh,"11,141","12,057","13,427","13,798","14,791",7.2,4,4,4,4,4
14,Maharashtra,"11,569","13,528","15,224","15,366","15,715",2.27,3,3,3,3,3
15,Manipur,127,110,127,73,72,-1.37,27,28,28,31,31
16,Meghalaya,144,187,162,168,197,17.26,26,25,26,25,26
17,Mizoram,42,56,113,96,110,14.58,33,31,29,28,28
18,Nagaland,53,55,73,86,62,-27.91,30,34,33,29,33
19,Odisha,"4,738","5,081","5,467","5,739","6,142",7.02,12,13,13,13,13
20,Punjab,"3,898","4,589","4,756","4,829","4,759",-1.45,15,15,15,15,14
21,Rajasthan,"9,250","10,043","11,104","11,762","11,790",0.24,6,5,6,6,6
22,Sikkim,47,56,92,57,67,17.54,32,31,30,34,32
23,Tamil Nadu,"14,527","15,384","17,884","18,347","18,449",0.56,2,2,2,2,2
24,Telangana,"6,882","7,557","7,559","7,660","7,949",3.77,8,9,10,10,9
25,Tripura,192,194,241,261,226,-13.41,24,24,24,24,24
26,Uttarakhand,674,820,"1,042","1,054","1,090",3.42,22,21,20,20,20
27,Uttar Pradesh,"19,149","21,227","22,595","23,652","24,118",1.97,1,1,1,1,1
28,West Bengal,"5,128","5,800","6,002","6,027","6,676",10.77,11,11,11,12,12
29,Andaman & Nicobar Islands,14,20,19,24,29,20.83,34,35,35,35,35
30,Chandigarh,53,96,83,67,75,11.94,30,29,32,32,30
31,Dadra & Nagar Haveli and Daman & Diu,64,76,90,74,95,28.38,29,30,31,30,29
32,Delhi,"1,196","1,239","1,461","1,457","1,551",6.45,19,19,19,19,19
33,J & K #,728,774,805,893,831,-6.94,21,22,22,21,22
34,Ladakh,NA,56,62,59,61,3.39,NA,NA,34,33,34
35,Lakshadweep,0,1,2,0,0,0,35,36,36,36,36
36,Puducherry,145,140,181,149,218,46.31,25,27,25,26,25
Total,All India,"1,38,383","1,53,972","1,68,491","1,72,890","1,77,175",2.48,,,,,
,,,,,,,,,,,,
# includes Ladakh for 2020,,,,,,,,,,,,
